"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2018 12:00:00 - 11/01/2018 13:00:00","BZN|CH","Without Sequence","55.26","",""
"11/01/2018 13:00:00 - 11/01/2018 14:00:00","BZN|CH","Without Sequence","54.29","",""
"11/01/2018 14:00:00 - 11/01/2018 15:00:00","BZN|CH","Without Sequence","54.01","",""
"11/01/2018 15:00:00 - 11/01/2018 16:00:00","BZN|CH","Without Sequence","53.36","",""
"11/01/2018 16:00:00 - 11/01/2018 17:00:00","BZN|CH","Without Sequence","54.60","",""
"11/01/2018 17:00:00 - 11/01/2018 18:00:00","BZN|CH","Without Sequence","57.44","",""
"11/01/2018 18:00:00 - 11/01/2018 19:00:00","BZN|CH","Without Sequence","57.44","",""
"11/01/2018 19:00:00 - 11/01/2018 20:00:00","BZN|CH","Without Sequence","54.68","",""
"11/01/2018 20:00:00 - 11/01/2018 21:00:00","BZN|CH","Without Sequence","51.09","",""
"11/01/2018 21:00:00 - 11/01/2018 22:00:00","BZN|CH","Without Sequence","46.56","",""
"11/01/2018 22:00:00 - 11/01/2018 23:00:00","BZN|CH","Without Sequence","47.94","",""
"11/01/2018 23:00:00 - 12/01/2018 00:00:00","BZN|CH","Without Sequence","42.29","",""
"12/01/2018 00:00:00 - 12/01/2018 01:00:00","BZN|CH","Without Sequence","37.09","",""
"12/01/2018 01:00:00 - 12/01/2018 02:00:00","BZN|CH","Without Sequence","35.15","",""
"12/01/2018 02:00:00 - 12/01/2018 03:00:00","BZN|CH","Without Sequence","34.71","",""
"12/01/2018 03:00:00 - 12/01/2018 04:00:00","BZN|CH","Without Sequence","38.13","",""
"12/01/2018 04:00:00 - 12/01/2018 05:00:00","BZN|CH","Without Sequence","37.55","",""
